Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Left Wrist x,Left Wrist y,Right Wrist x,Right Wrist y,Left Ankle x,Left Ankle y,Right Ankle x,Right Ankle y,Predicted_Pose
0.0,23.579947252128093,29.64091154478808,155.401772116157,159.8503776137191,141.02374827148182,136.35548871880036,202.3465261650045,200.1306538665359,"0.431, 0.231","0.474, 0.243","0.430, 0.408","0.472, 0.424","0.306, 0.513","0.311, 0.521","0.365, 0.729","0.364, 0.748","0.492, 0.544","0.519, 0.559","0.340, 0.924","0.339, 0.955","0.554, 0.183",0.492,0.544,0.519,0.559,0.34,0.924,0.339,0.955,Preparation
0.0333667000333667,22.612429296155906,30.436298643899065,156.26202237412693,159.54470862983263,141.24346878575705,137.77642551008148,199.4178866978002,194.7503720641489,"0.435, 0.231","0.474, 0.243","0.428, 0.409","0.471, 0.422","0.307, 0.508","0.309, 0.513","0.361, 0.726","0.353, 0.742","0.484, 0.550","0.520, 0.562","0.342, 0.927","0.338, 0.957","0.555, 0.183",0.484,0.55,0.52,0.562,0.342,0.927,0.338,0.957,Preparation
0.0667334000667334,22.64460576466395,30.740853115333994,155.55976064373328,159.4506734760246,142.80729422390718,139.42923601809898,195.9798424074957,190.99507945462057,"0.435, 0.231","0.474, 0.243","0.428, 0.409","0.471, 0.421","0.308, 0.506","0.308, 0.510","0.356, 0.726","0.343, 0.741","0.486, 0.552","0.521, 0.564","0.343, 0.927","0.335, 0.957","0.555, 0.184",0.486,0.552,0.521,0.564,0.343,0.927,0.335,0.957,Preparation
0.1001001001001001,21.67333807696417,31.08514987917114,153.89017722817937,160.1897096771719,144.1743501493525,141.02701935919384,191.1008825331236,187.46691610438432,"0.446, 0.236","0.474, 0.245","0.431, 0.411","0.471, 0.421","0.312, 0.505","0.307, 0.510","0.348, 0.726","0.335, 0.742","0.487, 0.555","0.522, 0.573","0.342, 0.927","0.332, 0.958","0.556, 0.188",0.487,0.555,0.522,0.573,0.342,0.927,0.332,0.958,Preparation
0.1334668001334668,23.52596002340609,31.40637679043635,155.88889120250465,160.29602061910052,144.87879557990584,141.08549961040163,189.68994575329128,187.69542862279303,"0.448, 0.239","0.474, 0.247","0.438, 0.414","0.470, 0.421","0.313, 0.505","0.307, 0.510","0.346, 0.727","0.333, 0.742","0.492, 0.555","0.522, 0.573","0.341, 0.925","0.328, 0.957","0.556, 0.193",0.492,0.555,0.522,0.573,0.341,0.925,0.328,0.957,Preparation
0.1668335001668335,24.35696283138865,31.964480713616,155.0724768387535,160.34164946518032,145.70708677340212,140.7924700991812,188.1077433801513,186.8762045072977,"0.453, 0.242","0.473, 0.248","0.444, 0.418","0.470, 0.422","0.317, 0.506","0.304, 0.509","0.344, 0.727","0.330, 0.741","0.500, 0.557","0.522, 0.574","0.341, 0.925","0.328, 0.957","0.556, 0.198",0.5,0.557,0.522,0.574,0.341,0.925,0.328,0.957,Preparation
0.2002002002002002,24.54971242331298,33.02833296157141,154.33565154058513,161.69460395972789,146.0481814578878,140.64523552575994,187.4637580852084,187.1085824179116,"0.454, 0.249","0.470, 0.251","0.445, 0.422","0.470, 0.424","0.320, 0.506","0.303, 0.510","0.345, 0.727","0.330, 0.741","0.501, 0.558","0.523, 0.580","0.341, 0.924","0.328, 0.957","0.556, 0.204",0.501,0.558,0.523,0.58,0.341,0.924,0.328,0.957,Preparation
0.2335669002335669,24.346282299881235,33.944217294042176,154.51765312961382,162.07045529529648,146.56375974513278,140.04132916185208,186.63165497764032,187.0392619782017,"0.457, 0.254","0.468, 0.252","0.447, 0.424","0.471, 0.426","0.324, 0.506","0.302, 0.507","0.345, 0.721","0.329, 0.736","0.501, 0.559","0.523, 0.580","0.342, 0.923","0.328, 0.955","0.556, 0.209",0.501,0.559,0.523,0.58,0.342,0.923,0.328,0.955,Preparation
0.2669336002669336,23.708799573493305,34.32036430466832,153.53750984685738,161.75179335475272,146.3917492591583,139.4200685402153,186.67389433373205,187.71153734764928,"0.458, 0.257","0.468, 0.254","0.446, 0.426","0.471, 0.428","0.326, 0.506","0.301, 0.507","0.348, 0.720","0.330, 0.735","0.500, 0.559","0.524, 0.581","0.345, 0.922","0.328, 0.954","0.556, 0.208",0.5,0.559,0.524,0.581,0.345,0.922,0.328,0.954,Preparation
0.3003003003003003,23.50333189386337,34.48977194533127,153.34531484891374,161.50040922230878,146.75346817306556,139.59155596470313,185.1847754268013,187.0385735873814,"0.457, 0.257","0.468, 0.255","0.445, 0.427","0.471, 0.430","0.327, 0.506","0.301, 0.507","0.349, 0.720","0.328, 0.735","0.500, 0.559","0.525, 0.585","0.350, 0.921","0.328, 0.954","0.555, 0.209",0.5,0.559,0.525,0.585,0.35,0.921,0.328,0.954,Preparation
