Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose"
0.0,12.338455455923691,26.033483847163374,153.8280817542086,165.5578493612624,147.6072325544271,147.3280476802218,200.4742206140661,197.12692763603303,"0.476, 0.378","0.477, 0.387","0.464, 0.493","0.480, 0.507","0.403, 0.597","0.378, 0.603","0.438, 0.740","0.400, 0.758","0.495, 0.579","0.511, 0.615","0.419, 0.896","0.372, 0.934","0.560, 0.342"
0.033366700033366704,19.377050781922748,24.684531886137222,161.47981904793596,161.48845370789064,148.28056500528245,147.56559911566103,198.92697585413862,196.91812962631505,"0.486, 0.385","0.469, 0.389","0.485, 0.500","0.471, 0.510","0.409, 0.597","0.375, 0.601","0.438, 0.742","0.399, 0.757","0.516, 0.596","0.507, 0.615","0.418, 0.900","0.372, 0.935","0.559, 0.341"
0.06673340006673341,20.24401150589762,24.98646884816001,162.5192769198536,161.67377703285683,149.09541219864585,147.6734701008878,198.51253254037445,196.53364003614308,"0.489, 0.386","0.467, 0.390","0.489, 0.501","0.470, 0.511","0.411, 0.596","0.374, 0.599","0.438, 0.742","0.398, 0.757","0.519, 0.600","0.506, 0.615","0.417, 0.900","0.372, 0.936","0.558, 0.340"
0.1001001001001001,19.7172015530059,25.3651986310669,161.4687794018006,162.3591471543295,149.86577886131505,147.59442201285015,198.5549625041341,196.58920784527157,"0.489, 0.386","0.467, 0.390","0.489, 0.502","0.470, 0.511","0.413, 0.596","0.374, 0.599","0.439, 0.742","0.398, 0.756","0.521, 0.600","0.506, 0.616","0.416, 0.900","0.372, 0.936","0.557, 0.339"
0.13346680013346682,19.043403678866262,24.61849593528466,160.0213503996524,161.1360720394777,150.0995526648557,147.5080372409784,198.77342006601526,196.5469761051503,"0.489, 0.386","0.467, 0.390","0.487, 0.502","0.468, 0.512","0.413, 0.596","0.374, 0.599","0.440, 0.742","0.398, 0.756","0.522, 0.600","0.505, 0.617","0.416, 0.901","0.372, 0.936","0.557, 0.338"
0.16683350016683351,19.654902573157777,24.61506755837956,160.90024843217032,161.6095775793563,150.1438705357216,147.39181846932837,198.90219323756594,196.5367167785335,"0.490, 0.386","0.467, 0.390","0.489, 0.504","0.468, 0.514","0.414, 0.596","0.374, 0.598","0.440, 0.742","0.398, 0.756","0.523, 0.603","0.503, 0.617","0.415, 0.901","0.372, 0.935","0.557, 0.338"
0.2002002002002002,19.417968114001862,24.483200703561835,160.39029027628484,160.2423001076012,149.97053061310513,147.13616449451004,199.17544042319818,196.72223340454062,"0.490, 0.386","0.467, 0.391","0.489, 0.505","0.467, 0.518","0.414, 0.595","0.374, 0.597","0.440, 0.742","0.398, 0.755","0.524, 0.605","0.503, 0.617","0.415, 0.901","0.372, 0.935","0.558, 0.338"
0.2335669002335669,19.87131733063253,24.924647052726186,161.95173389740776,160.42010686316445,149.94518365266453,146.94194455070405,199.24806653567688,196.85316271434073,"0.490, 0.386","0.466, 0.393","0.490, 0.505","0.468, 0.523","0.414, 0.595","0.374, 0.597","0.440, 0.742","0.398, 0.755","0.522, 0.606","0.503, 0.620","0.414, 0.901","0.372, 0.935","0.558, 0.338"
0.26693360026693363,21.927093059275137,24.7942540952782,166.65956387065097,161.650010910428,149.58847953352284,146.90622434956296,199.23270024081333,196.9057013321253,"0.492, 0.388","0.465, 0.393","0.495, 0.508","0.466, 0.522","0.415, 0.594","0.374, 0.596","0.441, 0.742","0.398, 0.754","0.522, 0.610","0.500, 0.622","0.414, 0.902","0.372, 0.935","0.558, 0.338"
0.3003003003003003,22.802363292912098,23.334772305079213,168.40673058801002,161.51739803418687,149.45427332116773,146.8294521173163,199.2216898585603,196.90581428591656,"0.492, 0.388","0.465, 0.393","0.497, 0.508","0.463, 0.522","0.415, 0.593","0.374, 0.595","0.441, 0.742","0.398, 0.754","0.522, 0.611","0.495, 0.623","0.414, 0.902","0.372, 0.935","0.558, 0.338"
