Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose",Lateral Bending Angle,Leaning
0.0,43.13708818365242,35.296781395582926,174.4237525608026,178.26700321861318,167.33405050870056,205.09034020392463,180.2810024368959,172.83232278951442,"0.576, 0.325","0.428, 0.343","0.554, 0.463","0.458, 0.470","0.557, 0.514","0.466, 0.521","0.583, 0.692","0.426, 0.703","0.540, 0.577","0.507, 0.581","0.597, 0.872","0.401, 0.882","0.495, 0.287",2.9636206574018877,Trailing Side
0.0333667000333667,24.8640596645254,19.134768074835407,175.9907248306859,174.68645790546557,166.34690965993954,204.27333568464528,181.85097624436656,174.32353758220628,"0.575, 0.325","0.428, 0.343","0.555, 0.461","0.458, 0.470","0.557, 0.514","0.466, 0.521","0.583, 0.694","0.426, 0.703","0.540, 0.576","0.504, 0.581","0.598, 0.872","0.402, 0.882","0.496, 0.291",3.1193003421124605,Trailing Side
0.0667334000667334,9.840520020817024,6.044207205542548,177.748626659997,172.18173867056825,165.50297134985058,203.64801048574836,183.202464535584,175.5186806295958,"0.575, 0.323","0.428, 0.343","0.556, 0.458","0.457, 0.470","0.557, 0.514","0.466, 0.521","0.583, 0.695","0.426, 0.702","0.540, 0.572","0.503, 0.580","0.598, 0.871","0.402, 0.881","0.495, 0.291",3.1024266821707283,Trailing Side
0.1001001001001001,-2.121588829100709,-4.173473429627549,179.65064988538853,170.6554898012995,164.7994248679978,203.1978300100317,184.3454360588908,176.4374349432193,"0.575, 0.323","0.426, 0.343","0.556, 0.458","0.456, 0.470","0.556, 0.513","0.464, 0.521","0.583, 0.696","0.426, 0.702","0.538, 0.572","0.500, 0.580","0.599, 0.871","0.403, 0.879","0.495, 0.294",2.955581638640544,Trailing Side
0.1334668001334668,-11.21032496685583,-11.716846048006786,181.64998634351312,170.01035558503742,164.2334595039453,202.90625966029327,185.28985956262957,177.09948353461328,"0.573, 0.323","0.426, 0.343","0.556, 0.450","0.455, 0.470","0.555, 0.513","0.463, 0.521","0.583, 0.696","0.425, 0.702","0.538, 0.566","0.496, 0.580","0.598, 0.871","0.403, 0.878","0.494, 0.294",2.955581638640544,Trailing Side
0.1668335001668335,-17.61374647407635,-16.78448286692705,183.6998278710234,170.14898030916012,163.80226454725724,202.7567648393309,186.0457037951428,177.52450941531416,"0.572, 0.322","0.423, 0.342","0.556, 0.450","0.454, 0.469","0.554, 0.515","0.461, 0.523","0.582, 0.697","0.425, 0.702","0.538, 0.564","0.492, 0.579","0.598, 0.871","0.403, 0.877","0.492, 0.296",3.0610297994176916,Trailing Side
0.2002002002002002,-21.519911432390305,-19.574956103720226,185.753366304572,170.97400826104578,163.5030292874977,202.73281094994255,186.62293750477315,177.73219559685833,"0.568, 0.323","0.422, 0.343","0.553, 0.448","0.451, 0.469","0.551, 0.515","0.459, 0.523","0.582, 0.699","0.425, 0.703","0.534, 0.562","0.487, 0.581","0.599, 0.872","0.404, 0.876","0.490, 0.295",3.07745539942438,Trailing Side
0.2335669002335669,-23.116877923425704,-20.28683797571824,187.7637934808116,172.38808372807253,163.33294301423075,202.8178633949261,187.0315294398632,177.74222509078226,"0.568, 0.323","0.419, 0.343","0.552, 0.447","0.449, 0.469","0.548, 0.516","0.457, 0.523","0.582, 0.699","0.425, 0.703","0.534, 0.557","0.482, 0.582","0.600, 0.871","0.404, 0.878","0.490, 0.295",2.7628004677101705,Trailing Side
0.2669336002669336,-22.59270402881056,-19.11870070025296,189.68430123639476,174.2938509976185,163.28919501702055,202.99538757707933,187.28144834875545,177.57428090862237,"0.567, 0.325","0.418, 0.344","0.550, 0.448","0.445, 0.468","0.546, 0.517","0.457, 0.524","0.582, 0.698","0.425, 0.704","0.527, 0.558","0.470, 0.582","0.601, 0.871","0.405, 0.877","0.486, 0.300",2.77021579720023,Trailing Side
0.3003003003003003,-20.13544783017292,-16.269116494656274,191.46808140797413,176.59395435706188,163.36897458543126,203.24884889920023,187.3826629797925,177.24804606191506,"0.565, 0.326","0.417, 0.344","0.547, 0.449","0.440, 0.468","0.544, 0.517","0.456, 0.525","0.582, 0.697","0.426, 0.704","0.518, 0.558","0.462, 0.582","0.602, 0.871","0.405, 0.879","0.484, 0.301",2.7702157972001946,Trailing Side
